iter	Logloss
169	0.4111826456
170	0.4111628287
171	0.411139935
172	0.4111225245
173	0.4110971349
174	0.4110716182
175	0.4110571336
176	0.4110317912
177	0.4110210683
178	0.4110100496
179	0.4109969386
180	0.410978317
181	0.4109679083
182	0.4109539982
183	0.4109493089
184	0.4109483704
185	0.4109256819
186	0.4109106066
187	0.4109026008
188	0.4108768927
189	0.4108602066
190	0.4108414721
191	0.4108279076
192	0.410814113
193	0.4108117176
194	0.4107961601
195	0.4107890441
196	0.4107824607
197	0.4107801041
198	0.4107675401
199	0.410753617
200	0.4107316021
201	0.410710388
202	0.4107099332
203	0.4107020152
204	0.4106876854
205	0.4106678661
206	0.4106674508
207	0.4106542997
208	0.4106465883
209	0.4106410701
210	0.41064107
211	0.4106298976
212	0.4106167571
213	0.4106018613
214	0.4105836763
215	0.4105699942
216	0.4105641202
217	0.4105507491
218	0.4105258396
219	0.4105248309
220	0.410524111
221	0.4105150865
222	0.4104980448
223	0.4104893361
224	0.4104793199
225	0.4104631074
226	0.4104523244
227	0.4104307998
228	0.4104295252
229	0.4104184369
230	0.4103983915
231	0.4103843514
232	0.4103742755
233	0.4103511456
234	0.4103261247
235	0.4103109575
236	0.4102892269
237	0.4102679797
238	0.4102604087
239	0.4102482143
240	0.4102402124
241	0.4102208408
242	0.4102063944
243	0.4101935238
244	0.4101815349
245	0.4101701188
246	0.410164672
247	0.4101588141
248	0.4101490831
249	0.4101483197
250	0.4101386196
251	0.4101308693
252	0.4101122424
253	0.4101041581
254	0.410095177
255	0.4100905851
256	0.4100612905
257	0.4100407016
258	0.4100252853
259	0.4100173019
260	0.4099927573
261	0.4099716523
262	0.4099507353
263	0.4099411216
264	0.4099298978
265	0.4099186817
266	0.4099051825
267	0.409891843
268	0.4098643577
269	0.4098489703
270	0.4098247333
271	0.4098158337
272	0.409785742
273	0.4097598946
274	0.409735743
275	0.409714665
276	0.4096866654
277	0.4096738746
278	0.4096607395
279	0.4096423952
280	0.4096183396
281	0.4096099509
282	0.4095824219
283	0.4095684521
284	0.4095586392
285	0.4095298599
286	0.4095045125
287	0.409490691
288	0.4094683341
289	0.4094433091
290	0.4094173526
291	0.4094072558
292	0.4093849571
293	0.4093759864
294	0.4093665726
295	0.4093440995
296	0.4093212541
297	0.4093146215
298	0.4093037298
299	0.4092975836
300	0.4092718091
301	0.4092694633
302	0.4092574389
303	0.4092461112
304	0.4092185828
305	0.4092092388
306	0.4091869107
307	0.4091731591
308	0.4091492967
309	0.4091250986
310	0.4091139032
311	0.409096507
312	0.409085132
313	0.409058788
314	0.4090575227
315	0.4090467286
316	0.4090421718
317	0.4090285277
318	0.4090213374
319	0.4089959776
320	0.408994779
321	0.4089717778
322	0.4089683262
323	0.4089438661
324	0.408941213
325	0.4089339768
326	0.4089278649
327	0.4089197156
328	0.4089064873
329	0.4088904252
330	0.4088819692
331	0.4088768591
332	0.4088652106
333	0.4088437168
334	0.4088368054
335	0.4088106193
336	0.4087907645
337	0.4087871383
338	0.4087773802
339	0.4087635692
340	0.4087429043
341	0.4087235646
342	0.4087053133
343	0.4086966952
344	0.408668388
345	0.4086603201
346	0.4086582462
347	0.4086572672
348	0.4086535771
349	0.4086465738
350	0.4086227719
351	0.4086100419
352	0.4085963964
353	0.4085900477
354	0.4085864928
355	0.4085618016
356	0.4085375706
357	0.4085317013
358	0.4085098185
359	0.4084998152
360	0.4084728382
361	0.4084511293
362	0.4084480668
363	0.4084339604
364	0.4084329233
365	0.4084109619
366	0.4083899315
367	0.408367809
368	0.4083631308
369	0.4083560037
370	0.4083420974
371	0.4083167776
372	0.4082959508
373	0.4082854478
374	0.4082655289
375	0.4082638492
376	0.4082402552
377	0.4082209813
378	0.4082171504
379	0.4081895123
380	0.408170228
381	0.4081644387
382	0.4081633073
383	0.4081515545
384	0.4081327688
385	0.4081273514
386	0.4081049116
387	0.4080921629
388	0.4080860167
389	0.4080810575
390	0.4080751569
391	0.408070097
392	0.4080662143
393	0.4080627491
394	0.4080427007
